"stkSym1","stkSym2","compInd","intraStkTimePeriod","interStkTimePeriod","timeInd","corVal"
"VNET","GOOG",1,7,3,11,-0.25027380801051
"VNET","GOOG",1,7,3,12,0.504057981097267
"VNET","GOOG",1,7,3,13,0.94790821375108
"VNET","GOOG",1,7,3,14,-0.747331592499147
"VNET","GOOG",1,7,3,15,-0.72663790731683
"VNET","GOOG",1,7,3,16,-0.680009827994751
"VNET","GOOG",1,7,3,17,-0.651407769169858
"VNET","GOOG",1,7,3,18,0.903122418151414
"VNET","GOOG",1,7,3,19,0.810391867612829
"VNET","GOOG",1,7,3,20,-0.151543841158563
"VNET","GOOG",1,7,3,21,0.951793162941188
"VNET","GOOG",1,7,3,22,0.527807307932466
"VNET","GOOG",1,7,3,23,0.689585575623939
"VNET","GOOG",1,7,3,24,0.868293864544535
"VNET","GOOG",1,7,3,25,0.831498063892155
"VNET","GOOG",1,7,3,26,0.135233855231502
"VNET","GOOG",1,7,3,27,-0.654601767079543
"VNET","GOOG",1,7,3,28,-0.67779512195739
"VNET","GOOG",1,7,3,29,-0.860321628503404
"VNET","GOOG",1,7,3,30,0.833646613265134
"VNET","GOOG",1,7,3,31,0.238919501890865
"VNET","GOOGL",1,7,3,1,-0.877175543479791
"VNET","GOOGL",1,7,3,2,0.151334502268397
"VNET","GOOGL",1,7,3,3,-0.845090115711581
"VNET","GOOGL",1,7,3,4,0.413324841264349
"VNET","GOOGL",1,7,3,5,0.473886658959949
"VNET","GOOGL",1,7,3,6,-0.853049471674377
"VNET","GOOGL",1,7,3,7,-0.85049057439796
"VNET","GOOGL",1,7,3,8,0.245727385813515
"VNET","GOOGL",1,7,3,9,-0.832510553667593
"VNET","GOOGL",1,7,3,10,0.955751129874102
"VNET","GOOGL",1,7,3,11,-0.17656953663264
"VNET","GOOGL",1,7,3,12,0.501476332886139
"VNET","GOOGL",1,7,3,13,0.938956902266966
"VNET","GOOGL",1,7,3,14,-0.742023553614967
"VNET","GOOGL",1,7,3,15,-0.757912649863142
"VNET","GOOGL",1,7,3,16,-0.560475805442252
"VNET","GOOGL",1,7,3,17,-0.693029089706838
"VNET","GOOGL",1,7,3,18,0.882000665340505
"VNET","GOOGL",1,7,3,19,0.794321701313716
"VNET","GOOGL",1,7,3,20,-0.119598372333297
"VNET","GOOGL",1,7,3,21,0.969313593690716
"VNET","GOOGL",1,7,3,22,0.530731718668103
"VNET","GOOGL",1,7,3,23,0.712209597402887
"VNET","GOOGL",1,7,3,24,0.882208273125715
"VNET","GOOGL",1,7,3,25,0.74973495662926
"VNET","GOOGL",1,7,3,26,0.0522766945571021
"VNET","GOOGL",1,7,3,27,-0.660534897180134
"VNET","GOOGL",1,7,3,28,-0.662923451783341
"VNET","GOOGL",1,7,3,29,-0.87425678731722
"VNET","GOOGL",1,7,3,30,0.858431920110506
"VNET","GOOGL",1,7,3,31,0.174023033188447
"VNET","AAPL",1,7,3,1,0.161757658757836
"VNET","AAPL",1,7,3,2,0.277907426136013
"VNET","AAPL",1,7,3,3,-0.837196555835676
"VNET","AAPL",1,7,3,4,0.714513321549551
"VNET","AAPL",1,7,3,5,0.395313899429122
